stifle_chance,mean_steps,std_steps,median_steps,min_steps,max_steps
0,5000.0,0.0,5000.0,5000,5000
10,91.745,12.51857378816332,90.0,63,183
25,47.893,5.215433994573391,47.0,37,74
50,42.806,5.707445920807217,42.0,30,71
75,50.339,10.81337172245586,48.5,23,104
90,49.388,13.837808386480171,47.0,16,111
100,42.982,14.333007748240114,41.0,8,125
