stifle_chance,transmission_chance,mean_reach,std_reach,sem,ci_95_lower,ci_95_upper,median_reach,min_reach,max_reach,mean_steps,std_steps,reach_fraction,iterations
0,100.0,1600.0,0.0,0.0,1600.0,1600.0,1600.0,1600,1600,5000.0,0.0,1.0,1000
10,100.0,1599.463,0.7715090577732877,0.024397258580140233,1599.4151813731828,1599.5108186268171,1600.0,1595,1600,91.515,12.6427692620966,0.999664375,1000
25,100.0,1578.544,5.8987167128841556,0.1865338008481542,1578.1783937503378,1578.9096062496624,1579.0,1557,1592,47.958,5.123913591239658,0.9865900000000001,1000
50,100.0,1451.398,25.37103240479751,0.8023024898909921,1449.8254871198135,1452.9705128801863,1454.0,1283,1514,42.803,6.001350448624644,0.90712375,1000
75,100.0,1168.645,105.78139098006642,3.3451012955780097,1162.0886014606672,1175.2013985393328,1187.0,484,1371,50.752,11.077147611149686,0.7304031249999999,1000
90,100.0,845.265,198.1477764606919,6.265982869136838,832.9836735764918,857.5463264235082,884.5,171,1224,49.184,14.474171673904026,0.528290625,1000
100,100.0,634.371,198.4182127380099,6.274534815119457,622.0729117623658,646.6690882376341,658.0,99,1082,43.291,14.383922143011489,0.396481875,1000
